All,CC,CW
0.6131191432396251,0.8606237816764133,0.30158730158730157
0.057392104712787176,0.06153486985444287,0.1155572998298495
0.608210620258813,0.7953216374269007,0.1587301587301587
0.05519913120266916,0.07420220783888608,0.09976035785695661
0.6256135653726015,0.8625730994152048,0.20105820105820107
0.06306848636878092,0.06379363809728489,0.1167023544979512
0.5908076751450246,0.7914230019493177,0.25132275132275134
0.0688206627711369,0.08885981536094721,0.12802702256680276
0.6024988844265954,0.8325536062378168,0.22804232804232802
0.05982176854959037,0.06444492793946853,0.10594437148120929
18,15,2
21,20,8
18,15,2
"BinomTestResult(k=18, n=27, alternative='two-sided', statistic=0.6666666666666666, pvalue=0.12207812070846558)","BinomTestResult(k=15, n=27, alternative='two-sided', statistic=0.5555555555555556, pvalue=0.7011080384254456)","BinomTestResult(k=2, n=27, alternative='two-sided', statistic=0.07407407407407407, pvalue=5.647540092468262e-06)"
