Subj,CC_Cor_Confi,CW_Cor_Confi,Chance_Cor_Confi,CC_Incor_Confi,CW_Incor_Confi,Chance_Incor_Confi
1,74.97142857142858,68.0,72.0,69.33333333333333,76.9,71.47368421052632
2,82.15625,65.33333333333333,86.8,81.16666666666667,82.9090909090909,76.9375
3,84.93548387096774,78.5,73.26666666666667,68.14285714285714,80.83333333333333,70.75
4,85.6896551724138,87.33333333333333,77.1875,86.33333333333333,81.81818181818181,83.53333333333333
5,72.0909090909091,77.0,73.70588235294117,57.8,65.0,59.0
6,79.3125,69.5,78.14285714285714,63.166666666666664,86.9,69.82352941176471
7,78.03571428571429,,74.8125,77.6,83.57142857142857,78.33333333333333
8,89.6923076923077,83.0,90.6,76.33333333333333,90.55555555555556,85.54545454545455
9,83.24,88.0,89.23529411764706,79.46153846153847,84.66666666666667,83.85714285714286
10,80.93103448275862,86.42857142857143,82.77777777777777,77.55555555555556,85.42857142857143,79.07692307692308
11,63.22857142857143,51.0,63.93333333333333,52.666666666666664,52.3,59.8125
12,90.6,74.66666666666667,90.86666666666666,87.0,93.9090909090909,86.0
13,86.63888888888889,94.5,74.86363636363636,61.5,77.5,69.0
14,81.76470588235294,80.4,76.92857142857143,74.75,87.33333333333333,82.88235294117646
15,84.27272727272727,65.2,75.3157894736842,74.6,87.33333333333333,84.33333333333333
16,82.60606060606061,58.0,66.6,67.0,85.0,72.80952380952381
17,83.13793103448276,64.5,66.57142857142857,60.55555555555556,76.25,69.47058823529412
18,67.7741935483871,59.666666666666664,59.76470588235294,58.714285714285715,61.75,63.57142857142857
19,76.72972972972973,83.5,71.0,75.0,73.0,69.92307692307692
20,90.875,85.0,82.35714285714286,81.0,92.38461538461539,85.0
21,87.44117647058823,87.66666666666667,83.25,70.75,78.81818181818181,75.57894736842105
22,90.55172413793103,86.0,85.75,75.11111111111111,84.44444444444444,90.26315789473684
25,98.3103448275862,100.0,94.92307692307692,98.33333333333333,100.0,97.22222222222223
27,89.55555555555556,88.0,86.6470588235294,78.45454545454545,89.83333333333333,77.42857142857143
28,77.6896551724138,83.2,70.73684210526316,73.66666666666667,77.22222222222223,66.83333333333333
29,77.3125,67.0,71.3076923076923,72.0,74.41666666666667,70.72222222222223
30,92.56666666666666,97.0,88.25,86.625,95.1,85.63157894736842
31,88.70270270270271,89.66666666666667,85.82352941176471,73.0,91.72727272727273,83.71428571428571
32,77.33333333333333,67.0,74.52941176470588,69.5,79.8,60.785714285714285
33,85.84375,74.4,72.33333333333333,72.16666666666667,78.22222222222223,72.6875
34,70.53125,81.0,61.38095238095238,56.5,65.16666666666667,59.6
35,86.78787878787878,87.5,89.2,79.8,84.75,77.8125
36,67.51724137931035,57.6,63.666666666666664,59.22222222222222,64.77777777777777,57.38461538461539
37,77.72413793103448,66.25,74.44444444444444,67.22222222222223,71.0,76.92307692307692
38,89.93939393939394,78.33333333333333,83.73684210526316,86.0,92.81818181818181,88.16666666666667
39,76.5,67.4,72.26315789473684,57.666666666666664,78.55555555555556,69.25
40,83.33333333333333,65.5,77.55555555555556,71.625,78.66666666666667,80.72727272727273
41,92.10714285714286,84.875,85.23529411764706,80.6,70.66666666666667,81.85714285714286
42,76.90625,57.333333333333336,70.75,58.666666666666664,79.27272727272727,78.94736842105263
43,84.97142857142858,72.0,76.63157894736842,80.0,84.0,74.08333333333333
44,88.0625,76.5,86.05263157894737,71.83333333333333,85.3,81.75
45,86.85714285714286,79.16666666666667,86.38461538461539,82.1,85.625,80.11111111111111
46,75.90625,65.5,73.75,69.5,61.083333333333336,68.26666666666667
47,90.0,93.0,94.57142857142857,85.375,92.0909090909091,89.82352941176471
