choice,confidence,rt,question,type,set,SID
1,100,17.681,1,2AFC,1,1
1,51,11.622,1,2AFC,1,2
1,100,13.84,1,2AFC,1,3
1,100,13.774,1,2AFC,1,4
1,52,19.97,1,2AFC,1,5
1,75,18.653,1,2AFC,1,6
1,87,17.359,1,2AFC,1,7
0,65,17.846,1,2AFC,1,8
0,74,26.67,1,2AFC,1,9
0,59,114.549,1,2AFC,1,10
1,51,12.37,1,2AFC,1,11
1,53,21.293,1,2AFC,1,12
1,100,14.123,1,2AFC,1,13
1,100,22.605,1,2AFC,1,14
1,100,21.92,1,2AFC,1,15
1,100,10.813,1,2AFC,1,16
1,100,16.103,1,2AFC,1,17
1,100,25.884,1,2AFC,1,18
1,74,12.504,1,2AFC,1,19
1,100,19.548,1,2AFC,1,20
1,100,19.93,1,2AFC,1,21
1,100,21.437,1,2AFC,1,22
1,100,15.822,1,2AFC,1,23
1,100,27,1,2AFC,1,24
1,51,16.233,1,2AFC,1,25
1,100,21.696,1,2AFC,1,26
1,100,22.819,1,2AFC,1,27
1,100,16.214,1,2AFC,1,28
1,76,13.202,1,2AFC,1,29
1,100,20.479,1,2AFC,1,30
1,57,16.482,1,2AFC,1,31
0,51,9.364,1,2AFC,1,32
1,100,14.48,1,2AFC,1,33
1,100,13.254,1,2AFC,1,34
1,100,39.893,1,2AFC,1,35
1,53,14.771,1,2AFC,1,36
0,55,10.988,1,2AFC,1,37
1,100,11.466,1,2AFC,1,38
1,100,208.885,1,2AFC,1,39
1,75,14.894,1,2AFC,1,40
0,76,16.279,1,2AFC,1,41
1,55,19.777,1,2AFC,1,42
1,100,12.423,1,2AFC,1,43
1,100,16.152,1,2AFC,1,44
1,100,13.512,1,2AFC,1,45
1,100,12.908,1,2AFC,1,46
1,100,26.615,1,2AFC,1,47
1,80,20.701,1,2AFC,1,48
1,100,18.32,1,2AFC,1,49
1,100,44.749,1,2AFC,1,50
1,52,16.078,1,2AFC,1,51
1,100,16.264,1,2AFC,1,52
1,88,19.14,1,2AFC,1,53
1,100,10.5,1,2AFC,1,54
1,95,18.677,1,2AFC,1,55
1,100,75.195,1,2AFC,1,56
1,100,29.709,1,2AFC,1,57
1,100,14.501,1,2AFC,1,58
0,79,2.442,2,2AFC,1,1
0,92,5.193,2,2AFC,1,2
1,57,3.438,2,2AFC,1,3
0,79,3.641,2,2AFC,1,4
0,100,5.344,2,2AFC,1,5
1,60,11.68,2,2AFC,1,6
0,100,3.69,2,2AFC,1,7
0,95,9.277,2,2AFC,1,8
0,100,89.9,2,2AFC,1,9
1,100,3.666,2,2AFC,1,10
1,51,3.761,2,2AFC,1,11
1,100,8.833,2,2AFC,1,12
0,79,3.825,2,2AFC,1,13
1,84,4.8,2,2AFC,1,14
1,56,6.577,2,2AFC,1,15
0,98,4.259,2,2AFC,1,16
1,67,6.318,2,2AFC,1,17
0,61,11.322,2,2AFC,1,18
1,67,8.092,2,2AFC,1,19
0,100,6.28,2,2AFC,1,20
0,100,15.829,2,2AFC,1,21
0,100,4.954,2,2AFC,1,22
1,100,7.838,2,2AFC,1,23
1,100,24.912,2,2AFC,1,24
1,100,11.835,2,2AFC,1,25
0,100,5.387,2,2AFC,1,26
0,100,6.372,2,2AFC,1,27
1,82,5.591,2,2AFC,1,28
0,78,6.502,2,2AFC,1,29
1,97,3.466,2,2AFC,1,30
0,100,5.036,2,2AFC,1,31
0,100,4.786,2,2AFC,1,32
1,100,3.047,2,2AFC,1,33
0,100,3.96,2,2AFC,1,34
1,81,4.098,2,2AFC,1,35
0,61,3.387,2,2AFC,1,36
0,75,12.84,2,2AFC,1,37
1,77,4.697,2,2AFC,1,38
1,75,6.448,2,2AFC,1,39
0,90,5.7,2,2AFC,1,40
1,94,4.298,2,2AFC,1,41
0,59,6.131,2,2AFC,1,42
0,63,3.128,2,2AFC,1,43
1,96,4.459,2,2AFC,1,44
0,73,4.082,2,2AFC,1,45
0,53,5.195,2,2AFC,1,46
0,100,5.245,2,2AFC,1,47
0,60,6.425,2,2AFC,1,48
0,100,3.807,2,2AFC,1,49
0,100,3.028,2,2AFC,1,50
0,100,8.723,2,2AFC,1,51
0,87,44.33,2,2AFC,1,52
1,100,4.5,2,2AFC,1,53
0,100,2.864,2,2AFC,1,54
0,80,6.971,2,2AFC,1,55
1,73,4.418,2,2AFC,1,56
0,100,5.164,2,2AFC,1,57
0,70,2.72,2,2AFC,1,58
1,94,3.664,3,2AFC,1,1
0,100,4.198,3,2AFC,1,2
1,100,6.474,3,2AFC,1,3
0,97,4.7,3,2AFC,1,4
1,54,8.206,3,2AFC,1,5
1,55,9.085,3,2AFC,1,6
1,52,4.099,3,2AFC,1,7
1,61,6.059,3,2AFC,1,8
1,86,4.168,3,2AFC,1,9
1,95,5.51,3,2AFC,1,10
1,54,6.323,3,2AFC,1,11
1,95,4.676,3,2AFC,1,12
1,100,3.447,3,2AFC,1,13
1,67,10.002,3,2AFC,1,14
1,100,8.122,3,2AFC,1,15
1,100,27.1,3,2AFC,1,16
1,100,5.542,3,2AFC,1,17
1,54,11.84,3,2AFC,1,18
1,100,12.832,3,2AFC,1,19
1,75,7.576,3,2AFC,1,20
1,100,3.809,3,2AFC,1,21
1,100,9.621,3,2AFC,1,22
1,100,22.164,3,2AFC,1,23
1,100,22.007,3,2AFC,1,24
1,100,5.533,3,2AFC,1,25
1,100,30.404,3,2AFC,1,26
1,100,5.944,3,2AFC,1,27
1,84,11.637,3,2AFC,1,28
1,52,12.307,3,2AFC,1,29
1,100,5.034,3,2AFC,1,30
1,100,3.37,3,2AFC,1,31
1,86,4.532,3,2AFC,1,32
1,98,4.723,3,2AFC,1,33
1,51,4.601,3,2AFC,1,34
0,76,9.986,3,2AFC,1,35
1,79,6.899,3,2AFC,1,36
1,65,5.9,3,2AFC,1,37
1,77,29.816,3,2AFC,1,38
1,59,5.1,3,2AFC,1,39
1,100,6.492,3,2AFC,1,40
1,100,3.438,3,2AFC,1,41
0,57,5.709,3,2AFC,1,42
1,85,5.209,3,2AFC,1,43
1,78,24.293,3,2AFC,1,44
1,77,6.143,3,2AFC,1,45
1,100,10.147,3,2AFC,1,46
0,94,4.963,3,2AFC,1,47
1,77,6.13,3,2AFC,1,48
